"Wells","sample","OD.k","OD.n0","OD.r","OD.t_mid","OD.t_gen","OD.auc_l","OD.auc_e","OD.sigma","OD.note","OD.AUC","OD.max_gr","OD.max_val"
"bactExtract_Y1P062_PM1_  H08","NA",260.560843704125,7.46378155732354,0.201793214812649,17.461988830131,3.43493799433983,7792.20848691038,7908.75,21.451289977534,"",6088.5,0.934627786669854,266
"bactExtract_Y1P062_PM1_  H09","NA",72.8434643267075,25.6252193553428,0.139129721820914,4.39304670688295,4.98202089020314,2914.37683778716,2921.75,6.44577590413281,"",1782.125,0.892735039830216,80
"bactExtract_Y1P062_PM1_  H10","NA",68.8887872029929,25.4029295356816,0.158382533543034,3.39413228648698,4.37641174853166,2838.69896841144,2845.625,6.12576254665602,"",1474.625,1.18527680328293,77
"bactExtract_Y1P062_PM1_  H11","NA",53.7913433074795,22.8322282065965,0.168857270416059,1.80326502869732,4.1049294404206,2282.24319274918,2288.75,5.13810048343753,"",701.75,1.11854096450088,59
"bactExtract_Y1P062_PM1_  H12","NA",87.7647827927697,50.4018587940198,0.0382729847217385,-7.82142238495757,18.1106121092836,3157.58756393351,3169.625,6.61280986659462,"questionable fit",1598.5,2.52296182950281,83
"bactExtract_Y1P126_PM1_  A01","NA",52.7636309906707,21.9605172252142,0.159713932301178,2.11859796356343,4.33992933849286,2216.91888057444,2222.75,5.55592923290525,"",992.5,1.08135613538887,66
"bactExtract_Y1P126_PM1_  A02","NA",86.2222113587251,69.3809146026028,0.0843041276687752,-16.7936950745548,8.22198390194215,3877.81155351878,3889.125,6.80363319157708,"questionable fit",806.375,0.504253729610637,92
"bactExtract_Y1P126_PM1_  A03","NA",282.917870881059,6.19960099451818,0.286204161742229,13.2720466222862,2.42186268830091,9661.85239395855,9720.5,21.685477558321,"",8780.375,2.27234553474087,297
"bactExtract_Y1P126_PM1_  A04","NA",64.3436503404079,33.7915821465449,0.0471920111258845,-2.13551696925806,14.6878076187721,2303.33286520652,2311.375,6.13883658833709,"questionable fit",839.5,2.3658841811798,64
"bactExtract_Y1P126_PM1_  A05","NA",126.906503593356,5.1445517744928,0.294608905590672,10.7401019356837,2.35277063050837,4647.25254527382,4696.625,11.0800118681238,"",3289.125,1.20934136165741,134
"bactExtract_Y1P126_PM1_  A06","NA",294.053176169895,9.01152817692852,0.224711744640597,15.3713845362424,3.08460593222914,9407.74904941351,9452.75,21.8758392041335,"",8430.5,1.15093564163566,301
"bactExtract_Y1P126_PM1_  A07","NA",71.2729580400204,22.4751882391402,0.149624751230175,5.18144657769754,4.63257031247218,2836.56018253706,2843.625,6.79040676248487,"",1484.125,0.98066650838241,85
"bactExtract_Y1P126_PM1_  A08","NA",222.491009130593,21.8035147480483,0.0949337437217403,23.3813360040946,7.30137834437063,5350.60763850564,5352.875,17.428719580937,"",3405.625,1.82736282650007,228
"bactExtract_Y1P126_PM1_  A09","NA",41.2908868593568,14.9197483373409,0.133548855080778,4.26498936903715,5.19021432374461,1647.54278748959,1652.625,3.91259672801344,"",755.375,1.37961049491065,49
"bactExtract_Y1P126_PM1_  A10","NA",80.2501220178142,15.7640945806586,0.100515456464576,14.0148964338302,6.89592630765428,2539.68402846298,2547.25,6.55454817887722,"",1197,2.92407683398201,87
"bactExtract_Y1P126_PM1_  A11","NA",289.448053560526,9.3318167660475,0.185656555690334,18.322945380699,3.73349154293308,8401.0578679424,8469.125,21.562740222694,"",7473,1.47116416449552,298
"bactExtract_Y1P126_PM1_  A12","NA",49.6602072562591,20.5562273315979,0.210937647221424,1.6484065711912,3.28602878476378,2151.21952615155,2156.875,4.78269238883901,"",973.125,1.49904386454881,55
"bactExtract_Y1P126_PM1_  B01","NA",39.8039511012964,28.6616705119794,0.0314281140965131,-30.0626938898582,22.0550039506458,1580.84006434944,1585.125,3.6159598819771,"questionable fit",134.25,1.03823182912215,43
"bactExtract_Y1P126_PM1_  B02","NA",42.6215645923389,22.2921299934704,0.319779547241416,-0.28821069327178,2.16757821611605,1938.13930181007,1945,5.34333783171339,"questionable fit",1279.25,2.56787817197746,52
"bactExtract_Y1P126_PM1_  B03","NA",282.100233036319,9.79726212456946,0.174061825684434,19.1013298026869,3.98218953428989,7965.50292570043,8007.875,20.9856344122145,"",7023.5,1.97026090133409,292
"bactExtract_Y1P126_PM1_  B04","NA",42.657210341169,13.6719686560951,0.189111673627582,3.9735206472174,3.66527971152623,1769.61727066925,1773.5,4.43186181804672,"",670,1.51823201052688,51
"bactExtract_Y1P126_PM1_  B05","NA",135.731295875973,15.1896461274104,0.0764822850406985,27.0831515200802,9.06284612431625,2898.60211838922,2911.625,8.97337063495262,"",2389.125,1.49904386454881,122
"bactExtract_Y1P126_PM1_  B06","NA",238.534532199075,4.51436928426102,0.269155976804387,14.6686016083347,2.57526207959224,7814.61794984711,7870,17.9243829065413,"",7300,1.24084326274337,246
"bactExtract_Y1P126_PM1_  B07","NA",45.6391073190494,13.6805392380065,0.128788113868603,6.58807681497541,5.3820741661543,1742.7315626584,1745.875,4.74963184536944,"",785.625,1.47116416449552,52
"bactExtract_Y1P126_PM1_  B08","NA",110.625593093159,76.6420901810882,0.0961201606155439,-8.4609846925392,7.2112569945899,4837.6225107633,4852.125,8.41384596264731,"questionable fit",1482.875,0.310891947403522,120
"bactExtract_Y1P126_PM1_  B09","NA",118.890151634866,11.4028338492452,0.121411566791591,18.478560305512,5.70907038659477,3380.09479067075,3397.25,9.03331691498661,"",2827.625,1.85082753169593,124
"bactExtract_Y1P126_PM1_  B10","NA",39.1478883730611,11.7176019413423,0.133037171608741,6.39336800526883,5.21017676622346,1505.80714016517,1510,3.88373249100471,"",849.25,1.74158604805909,47
"bactExtract_Y1P126_PM1_  B11","NA",271.55286060279,10.8604739909116,0.123721405815754,25.6884500850553,5.60248387083622,5976.36564169444,6028.125,19.3411803288381,"",4568,1.74158604805909,262
"bactExtract_Y1P126_PM1_  B12","NA",220.673101926409,10.8881328040174,0.215758429677995,13.711675559621,3.21260764455146,7405.11995241412,7485,19.2017480608165,"",5241,0.99704279308738,234
"bactExtract_Y1P126_PM1_  C01","NA",61.2528991450736,27.0379577828462,0.0897396125190487,2.62337558020662,7.72398232065927,2363.39272419324,2367.125,5.73949234912273,"",86.5,1.42695685538867,68
"bactExtract_Y1P126_PM1_  C02","NA",33.4657462220855,12.0900443050826,0.209595457247162,2.7189163866674,3.30707158286624,1427.07166419233,1431,3.7253203899024,"",767.125,1.72344215860602,40
"bactExtract_Y1P126_PM1_  C03","NA",163.90144376786,2.87278586314294,0.336416663904506,11.9681946156839,2.06038301585649,5815.10224650477,5853.125,13.4078505154403,"",5330.5,1.24084326274337,179
"bactExtract_Y1P126_PM1_  C04","NA",116.078831665139,76.9875702672471,0.105634128064958,-6.41596657997649,6.56177310550341,5066.20552444818,5081.375,8.93104001227279,"questionable fit",1712.25,0.447752331589416,126
"bactExtract_Y1P126_PM1_  C05","NA",121.315492548122,3.15802230489972,0.221061285800366,16.384923468177,3.13554306015349,3760.83075138496,3813.25,9.90493358560112,"",2835.125,1.74158604805909,127
"bactExtract_Y1P126_PM1_  C06","NA",274.447091506669,3.33545355846264,0.279386626532412,15.7413476411728,2.4809604853421,8704.19578617537,8767.375,20.3962101732074,"",8244.875,1.39347782514594,283
"bactExtract_Y1P126_PM1_  C07","NA",261.312700025526,10.7732521081588,0.120801801457664,26.0472107318253,5.7378877814406,5671.06386078832,5692.625,18.690288677094,"",5170.125,1.22174670730953,261
"bactExtract_Y1P126_PM1_  C08","NA",89.3425158671293,3.57766920321425,0.286316772128463,11.0957442644878,2.42091015279031,3239.70450778579,3273.125,7.60624878018652,"",2750.625,1.24084326274337,96
"bactExtract_Y1P126_PM1_  C09","NA",262.871974731073,3.97921951933353,0.287555295672984,14.5200880207696,2.41048310008595,8655.62023934887,8713.75,19.6879497635969,"",8144.125,1.42695685538867,271
"bactExtract_Y1P126_PM1_  C10","NA",114.6439866719,12.657037168933,0.0680623485108145,30.6576476755137,10.1840032811946,2198.65590295406,2206.75,7.23736834910029,"",1146.25,1.30192415556107,98
"bactExtract_Y1P126_PM1_  C11","NA",42.3196533468048,16.9261257369426,0.124789658736648,3.25055775696905,5.5545242095961,1700.76227078838,1702.5,4.7644328649502,"",1.25,1.00543885234373,49
